run,event,E_beam,Ctrk(N),Ctrk(SumP),ECAL(N),ECAL(SumE),HCAL(N),HCAL(SumE),myon_n,
5227,1272,45.57,2,83.8,8,93.5,1,0.9,0,screenshot
5227,1297,45.57,5,0.0,4,75.3,1,0.8,0,
5227,1302,45.57,0,0.0,4,84.1,1,0.8,0,
5227,1319,45.57,2,71.0,6,91.6,2,1.8,0,
5227,1575,45.57,6,0.0,6,95.3,1,1.4,0,
5227,1672,45.57,2,71.6,3,92.2,0,0.0,0,
5227,1687,45.57,2,71.3,5,94.2,2,0.7,0,
5227,1862,45.57,2,74.4,5,88.5,1,0.3,0,
5227,1879,45.57,14,0.0,4,83.8,1,0.3,0,
5227,1886,45.57,2,83.2,3,91.2,1,0.3,0,
5227,1976,45.57,6,47.9,4,90.3,1,0.3,0,
5227,2197,45.57,5,65.1,6,92.5,0,0.0,0,
5227,2224,45.57,2,82.5,7,90.3,1,0.3,0,
5227,2273,45.57,4,0.0,4,91.1,2,2.2,0,
5227,2416,45.57,2,0.0,4,90.1,2,6.1,0,
5227,2433,45.57,2,0.0,4,97.3,1,0.3,0,
5227,2564,45.57,6,2.0,8,90.8,2,0.7,0,
5227,2571,45.57,2,59.9,5,92.3,8,0.3,0,
5227,2617,45.57,2,78.9,5,91.0,1,0.3,0,
5227,2767,45.57,5,0.0,3,86.4,2,0.3,0,